scenario_id,job_id,oracle_grade,rater_1,rater_2,adjudicated,notes
SC-LT-01,job-0012,3,,,,
SC-LT-01,job-0136,3,,,,
SC-LT-01,job-0196,3,,,,
SC-LT-01,job-0095,3,,,,
SC-LT-01,job-0128,3,,,,
SC-LT-02,job-0128,3,,,,
SC-LT-02,job-0012,3,,,,
SC-LT-02,job-0136,3,,,,
SC-LT-02,job-0088,3,,,,
SC-LT-02,job-0187,3,,,,
SC-LT-03,job-0012,3,,,,
SC-LT-03,job-0136,3,,,,
SC-LT-03,job-0196,3,,,,
SC-LT-03,job-0095,3,,,,
SC-LT-03,job-0128,3,,,,
SC-LT-04,job-0031,3,,,,
SC-LT-04,job-0053,3,,,,
SC-LT-04,job-0088,3,,,,
SC-LT-04,job-0173,3,,,,
SC-LT-04,job-0187,3,,,,
SC-LT-05,job-0128,3,,,,
SC-LT-05,job-0012,3,,,,
SC-LT-05,job-0136,3,,,,
SC-LT-05,job-0088,3,,,,
SC-LT-05,job-0187,3,,,,
SC-LT-01,job-0088,3,,,,
SC-LT-01,job-0187,3,,,,
SC-LT-03,job-0088,3,,,,
SC-LT-03,job-0187,3,,,,
SC-LT-03,job-0031,3,,,,
SC-LT-03,job-0053,3,,,,
SC-LT-03,job-0132,3,,,,
