scenario_id,job_id,rater_id,relevance_grade,hard_violation_observed,role_fit,skill_fit,oracle_version
SC-A-01,job-0000,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0001,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0002,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0003,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0004,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0005,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0006,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0007,auto_oracle,1,False,0.5,0.0,1.0.0
SC-A-01,job-0008,auto_oracle,1,False,0.5,0.0,1.0.0
SC-A-01,job-0009,auto_oracle,0,True,0.0,1.0,1.0.0
SC-A-01,job-0010,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0011,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0012,auto_oracle,3,False,1.0,0.5,1.0.0
SC-A-01,job-0013,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0014,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0015,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0016,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0017,auto_oracle,0,True,0.5,0.0,1.0.0
SC-A-01,job-0018,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0019,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0020,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0021,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0022,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0023,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0024,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0025,auto_oracle,1,False,0.5,0.0,1.0.0
SC-A-01,job-0026,auto_oracle,1,False,0.5,0.0,1.0.0
SC-A-01,job-0027,auto_oracle,0,True,0.5,0.0,1.0.0
SC-A-01,job-0028,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0029,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0030,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0031,auto_oracle,3,False,1.0,0.5,1.0.0
SC-A-01,job-0032,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0033,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0034,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0035,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0036,auto_oracle,0,True,0.5,0.0,1.0.0
SC-A-01,job-0037,auto_oracle,0,True,0.0,1.0,1.0.0
SC-A-01,job-0038,auto_oracle,0,True,0.5,0.667,1.0.0
SC-A-01,job-0039,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0040,auto_oracle,0,True,0.0,1.0,1.0.0
SC-A-01,job-0041,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0042,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0043,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0044,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0045,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0046,auto_oracle,1,False,0.5,0.0,1.0.0
SC-A-01,job-0047,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0048,auto_oracle,0,True,0.5,0.667,1.0.0
SC-A-01,job-0049,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0050,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0051,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0052,auto_oracle,0,True,0.5,0.667,1.0.0
SC-A-01,job-0053,auto_oracle,3,False,1.0,0.5,1.0.0
SC-A-01,job-0054,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0055,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0056,auto_oracle,3,False,1.0,0.5,1.0.0
SC-A-01,job-0057,auto_oracle,0,True,0.5,0.0,1.0.0
SC-A-01,job-0058,auto_oracle,3,False,1.0,0.5,1.0.0
SC-A-01,job-0059,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0060,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0061,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0062,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0063,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0064,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0065,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0066,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0067,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0068,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0069,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0070,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0071,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0072,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0073,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0074,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0075,auto_oracle,1,False,0.5,0.333,1.0.0
SC-A-01,job-0076,auto_oracle,0,True,0.5,0.5,1.0.0
SC-A-01,job-0077,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0078,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0079,auto_oracle,0,True,0.5,0.667,1.0.0
SC-A-01,job-0080,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0081,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0082,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0083,auto_oracle,0,True,1.0,0.5,1.0.0
SC-A-01,job-0084,auto_oracle,0,False,0.0,1.0,1.0.0
SC-A-01,job-0085,auto_oracle,2,False,0.5,0.667,1.0.0
SC-A-01,job-0086,auto_oracle,2,False,0.5,0.5,1.0.0
SC-A-01,job-0087,auto_oracle,0,True,0.5,0.333,1.0.0
SC-A-01,job-0088,auto_oracle,3,False,1.0,0.5,1.0.0
