run_id,claim_id,rater_id,supported
run-0001883d9bd6c917,claim-00f3e2800d2e6a11,human_adjudicated,1
run-0001883d9bd6c917,claim-0bac7e0b982e6eec,human_adjudicated,1
run-0001883d9bd6c917,claim-147656ceb777bb2f,human_adjudicated,0
run-0001883d9bd6c917,claim-15ec35b6385e963c,human_adjudicated,0
run-0001883d9bd6c917,claim-1b17aec49269f1a9,human_adjudicated,1
run-0001883d9bd6c917,claim-61316786f16fd635,human_adjudicated,1
run-0001883d9bd6c917,claim-637e6173022e54dd,human_adjudicated,1
run-0001883d9bd6c917,claim-63f3cbce8d3215af,human_adjudicated,0
run-0001883d9bd6c917,claim-66ad6b2faf9acd8a,human_adjudicated,1
run-0001883d9bd6c917,claim-6835dd660940a973,human_adjudicated,1
run-0001883d9bd6c917,claim-85ca4aff0fb5ddf5,human_adjudicated,0
run-0001883d9bd6c917,claim-9515f274401a51ce,human_adjudicated,1
run-0001883d9bd6c917,claim-9f8d9232572742d7,human_adjudicated,1
run-0001883d9bd6c917,claim-b576bdaa57856f92,human_adjudicated,1
run-0001883d9bd6c917,claim-b7ff2fb4dcd929f3,human_adjudicated,1
run-0001883d9bd6c917,claim-bee3b25a4888ad75,human_adjudicated,1
run-0001883d9bd6c917,claim-c58bb2d8f4035612,human_adjudicated,1
run-0001883d9bd6c917,claim-cda17c8459860a6d,human_adjudicated,0
run-0001883d9bd6c917,claim-db58e68a276f73f2,human_adjudicated,1
run-0001883d9bd6c917,claim-f1aae5b30c1dbde6,human_adjudicated,1
run-0001883d9bd6c917,claim-f6fbd5e6aa623c88,human_adjudicated,1
run-0001883d9bd6c917,claim-f81b9e696a4daf92,human_adjudicated,1
run-008ff1e10c3c215a,claim-15ec35b6385e963c,human_adjudicated,0
run-008ff1e10c3c215a,claim-1f5aa82c73817981,human_adjudicated,1
run-008ff1e10c3c215a,claim-2c8b41a54a0fe323,human_adjudicated,1
run-008ff1e10c3c215a,claim-32707df50775b05b,human_adjudicated,0
run-008ff1e10c3c215a,claim-39473ea2ca61fe49,human_adjudicated,1
run-008ff1e10c3c215a,claim-53a8e419107df166,human_adjudicated,1
run-008ff1e10c3c215a,claim-55bbdd72e15ddbd2,human_adjudicated,1
run-008ff1e10c3c215a,claim-5d25ddd869dcf8c5,human_adjudicated,1
run-008ff1e10c3c215a,claim-67e1a8389ac1368d,human_adjudicated,0
run-008ff1e10c3c215a,claim-6835dd660940a973,human_adjudicated,1
run-008ff1e10c3c215a,claim-7803ebeefceccf40,human_adjudicated,1
run-008ff1e10c3c215a,claim-888dd8e65ebd1e0c,human_adjudicated,1
run-008ff1e10c3c215a,claim-addeb18eef12d66f,human_adjudicated,0
run-008ff1e10c3c215a,claim-afe921d2dea545a4,human_adjudicated,1
run-008ff1e10c3c215a,claim-b7ff2fb4dcd929f3,human_adjudicated,1
run-008ff1e10c3c215a,claim-b9d94b94e9e97f3b,human_adjudicated,0
run-008ff1e10c3c215a,claim-bdd71b4be152e236,human_adjudicated,1
run-008ff1e10c3c215a,claim-bee3b25a4888ad75,human_adjudicated,1
run-008ff1e10c3c215a,claim-c2d68998cb2480b0,human_adjudicated,0
run-008ff1e10c3c215a,claim-c4877a5cc7a9f05f,human_adjudicated,1
run-008ff1e10c3c215a,claim-d101143515cd53aa,human_adjudicated,1
run-008ff1e10c3c215a,claim-d2d73c1e6b916eb2,human_adjudicated,1
run-008ff1e10c3c215a,claim-db58e68a276f73f2,human_adjudicated,1
run-008ff1e10c3c215a,claim-e101664b3ad6aaa0,human_adjudicated,1
run-008ff1e10c3c215a,claim-ea7bad6ea315b12d,human_adjudicated,1
run-008ff1e10c3c215a,claim-f823f2e2786f5df2,human_adjudicated,1
run-00afa73a28212bb7,claim-07f5bca4cf795844,human_adjudicated,1
run-00afa73a28212bb7,claim-2a6463c5f25431e6,human_adjudicated,0
run-00afa73a28212bb7,claim-3a96e3ec26afa8d4,human_adjudicated,0
run-00afa73a28212bb7,claim-5477197e1d63902c,human_adjudicated,1
run-00afa73a28212bb7,claim-5a66a7653e01b261,human_adjudicated,1
run-00afa73a28212bb7,claim-60b8fca5c380fe3b,human_adjudicated,1
run-00afa73a28212bb7,claim-6dc7893b25ac7ec3,human_adjudicated,1
run-00afa73a28212bb7,claim-85ca4aff0fb5ddf5,human_adjudicated,0
run-00afa73a28212bb7,claim-87ca185de9022b4c,human_adjudicated,1
run-00afa73a28212bb7,claim-90c0a7e7cb048695,human_adjudicated,1
run-00afa73a28212bb7,claim-9515f274401a51ce,human_adjudicated,1
run-00afa73a28212bb7,claim-b60b2180bb7a4f54,human_adjudicated,0
run-00afa73a28212bb7,claim-b821f04fe480c71f,human_adjudicated,1
run-00afa73a28212bb7,claim-cf82ed2498390041,human_adjudicated,1
run-00afa73a28212bb7,claim-dfde3e524dc5a89f,human_adjudicated,1
run-00afa73a28212bb7,claim-ef41b07a262bfcde,human_adjudicated,0
