run_id,claim_id,claim_type,validator,rater_1,rater_2,adjudicated,notes
run-66066a443e623af8,claim-db58e68a276f73f2,candidate_preference,1,,,,
run-66066a443e623af8,claim-f823f2e2786f5df2,candidate_preference,1,,,,
run-66066a443e623af8,claim-e101664b3ad6aaa0,candidate_preference,1,,,,
run-66066a443e623af8,claim-c4877a5cc7a9f05f,ranking_reason,1,,,,
run-66066a443e623af8,claim-afe921d2dea545a4,ranking_reason,1,,,,
run-66066a443e623af8,claim-55bbdd72e15ddbd2,ranking_reason,1,,,,
run-66066a443e623af8,claim-39473ea2ca61fe49,ranking_reason,1,,,,
run-66066a443e623af8,claim-addeb18eef12d66f,skill_gap,1,,,,
run-66066a443e623af8,claim-b7ff2fb4dcd929f3,ranking_reason,1,,,,
run-66066a443e623af8,claim-6835dd660940a973,ranking_reason,1,,,,
run-66066a443e623af8,claim-7803ebeefceccf40,ranking_reason,1,,,,
run-66066a443e623af8,claim-bee3b25a4888ad75,ranking_reason,1,,,,
run-66066a443e623af8,claim-15ec35b6385e963c,skill_gap,1,,,,
run-66066a443e623af8,claim-2c8b41a54a0fe323,ranking_reason,1,,,,
run-66066a443e623af8,claim-d2d73c1e6b916eb2,ranking_reason,1,,,,
run-66066a443e623af8,claim-b9d94b94e9e97f3b,ranking_reason,1,,,,
run-66066a443e623af8,claim-b8b94ef16903cd53,ranking_reason,1,,,,
run-66066a443e623af8,claim-32707df50775b05b,skill_gap,1,,,,
run-66066a443e623af8,claim-8722749428a58b51,ranking_reason,1,,,,
run-66066a443e623af8,claim-a2629b870c884acf,ranking_reason,1,,,,
run-66066a443e623af8,claim-63769fa40bf6f326,ranking_reason,1,,,,
run-66066a443e623af8,claim-26b121ce1a076eb9,ranking_reason,1,,,,
run-66066a443e623af8,claim-83175074efc3ac0c,skill_gap,1,,,,
run-66066a443e623af8,claim-888dd8e65ebd1e0c,ranking_reason,1,,,,
run-66066a443e623af8,claim-1f5aa82c73817981,ranking_reason,1,,,,
run-66066a443e623af8,claim-d101143515cd53aa,ranking_reason,1,,,,
run-66066a443e623af8,claim-53a8e419107df166,ranking_reason,1,,,,
run-66066a443e623af8,claim-c2d68998cb2480b0,skill_gap,1,,,,
run-2235d196599acdae,claim-fcce8c2df25b909b,candidate_preference,1,,,,
run-2235d196599acdae,claim-f823f2e2786f5df2,candidate_preference,1,,,,
run-2235d196599acdae,claim-e101664b3ad6aaa0,candidate_preference,1,,,,
run-2235d196599acdae,claim-9366932dfd4e007f,ranking_reason,1,,,,
run-2235d196599acdae,claim-6536571af47d329f,ranking_reason,1,,,,
run-2235d196599acdae,claim-2e2299045fa7ddb3,ranking_reason,1,,,,
run-2235d196599acdae,claim-714e03bb3cec9b87,ranking_reason,1,,,,
run-2235d196599acdae,claim-afe921d2dea545a4,ranking_reason,1,,,,
run-2235d196599acdae,claim-39473ea2ca61fe49,ranking_reason,1,,,,
run-2235d196599acdae,claim-c1bec18aa27f79ba,ranking_reason,1,,,,
run-2235d196599acdae,claim-6835dd660940a973,ranking_reason,1,,,,
run-2235d196599acdae,claim-7803ebeefceccf40,ranking_reason,1,,,,
run-2235d196599acdae,claim-bee3b25a4888ad75,ranking_reason,1,,,,
run-2235d196599acdae,claim-c101a018bf9cecfc,ranking_reason,1,,,,
run-2235d196599acdae,claim-da116e4664dfbb48,ranking_reason,1,,,,
run-2235d196599acdae,claim-d2f05a7f92b3c300,ranking_reason,1,,,,
run-2235d196599acdae,claim-30f2b75b70add393,ranking_reason,1,,,,
run-2235d196599acdae,claim-69d701708e69fd48,skill_gap,1,,,,
run-2235d196599acdae,claim-ceddfc3f082410e7,ranking_reason,1,,,,
run-2235d196599acdae,claim-b576bdaa57856f92,ranking_reason,1,,,,
run-2235d196599acdae,claim-6a4c36f5c005d430,ranking_reason,1,,,,
run-2235d196599acdae,claim-637e6173022e54dd,ranking_reason,1,,,,
run-863ff196f4476b94,claim-db58e68a276f73f2,candidate_preference,1,,,,
run-863ff196f4476b94,claim-90c0a7e7cb048695,candidate_preference,1,,,,
run-863ff196f4476b94,claim-e101664b3ad6aaa0,candidate_preference,1,,,,
run-863ff196f4476b94,claim-9f8d9232572742d7,ranking_reason,1,,,,
run-863ff196f4476b94,claim-6dc7893b25ac7ec3,ranking_reason,1,,,,
run-863ff196f4476b94,claim-0bac7e0b982e6eec,ranking_reason,1,,,,
run-863ff196f4476b94,claim-920d098eeee29465,ranking_reason,1,,,,
run-863ff196f4476b94,claim-85ca4aff0fb5ddf5,skill_gap,1,,,,
